mode,N,Nb,Lb,Nh,N_ell,Nc,coverage_mean,coverage_std,coverage_min,coverage_max,riae_matrix_mean,riae_matrix_std,riae_matrix_min,riae_matrix_max,l2_matrix_mean,l2_matrix_std,l2_matrix_min,l2_matrix_max,vi_coverage_mean,vi_coverage_std,vi_coverage_min,vi_coverage_max,vi_riae_matrix_mean,vi_riae_matrix_std,vi_riae_matrix_min,vi_riae_matrix_max,vi_l2_matrix_mean,vi_l2_matrix_std,vi_l2_matrix_min,vi_l2_matrix_max,ess_median_mean,ess_median_std,ess_median_min,ess_median_max,runtime_mean,runtime_std,runtime_min,runtime_max,n_seeds
large,16384,2,8192.0,OFF,4096.0,4096.0,0.9078922758286035,0.03126966913066966,0.8204689789936492,0.9758996906041362,0.1122237879005256,0.004612558018322057,0.10255400583684113,0.12850432977462076,0.11553808651840229,0.005842204401246937,0.10552581074428641,0.13783428195118938,0.5743962115628557,0.027372092310993437,0.4722629322043098,0.6640612278130598,0.07874510485182733,0.023887547795759353,0.04280735289645406,0.2546339217137325,0.5409302066387062,0.6166920854869856,0.061181184057391265,4.914401792798984,23937.890672690763,2939.14878409068,14166.71,30412.89,9.10520081826482,1.6325262199342958,7.064056634902954,17.780390739440918,498
large,16384,4,4096.0,2,2048.0,1024.0,0.9137736464448794,0.029262517055878512,0.8282235268536638,0.9789084583605131,0.11139813858064042,0.0045839481833142535,0.10175198159947184,0.12943926317792254,0.11402694078139701,0.005483666930609014,0.10466305642200786,0.13795624856870928,0.5756899325940421,0.025535001978748896,0.49478147423352903,0.65514242226571,0.06472814889445655,0.012311982204485938,0.0381099751467127,0.1104629419305874,0.17185546345760638,0.15706617700025244,0.03748144890212879,1.086773327787408,26694.87259,3220.9927180706227,18103.465,32970.345,8.840080130577087,1.6382944652764875,6.913334131240845,16.662258863449097,500
large,16384,4,4096.0,4,2048.0,512.0,0.917479302832244,0.029689330409837646,0.8211328976034858,0.9786492374727669,0.11032721816131362,0.004459127286945204,0.09933430780652155,0.12699779308207404,0.1130310135934396,0.005139618949991554,0.10317151010510804,0.133175793272681,0.575526797385621,0.027115421717645135,0.4923747276688453,0.661437908496732,0.057264511500778326,0.01119940611421301,0.034419071612476315,0.12456006580089306,0.0894729016590021,0.06698397936581536,0.03411308451651719,0.7353330294669891,25752.68693,3635.7096166038014,6175.1849999999995,33560.255,8.748387293815613,1.7205455378056675,6.826317310333252,16.95157766342163,500
large,16384,4,4096.0,8,2048.0,256.0,0.9172519685039371,0.03047049400326076,0.8193350831146107,0.9864391951006124,0.10941191928294818,0.004037311166339699,0.10107016089538806,0.12414481178177658,0.11240611101438082,0.004462344525815651,0.10474552069630516,0.12945907336894869,0.571894138232721,0.029404722756616472,0.4772528433945757,0.6539807524059492,0.05234318657525059,0.010450418355398455,0.0338284743160423,0.10678124364471135,0.06961835448874354,0.04486650260227131,0.03324410698490555,0.3709803898424541,24035.55155,3622.2401296666376,14942.8,31878.235,8.776595948696137,1.682863806087482,6.775474786758423,16.642731189727783,500
large,16384,4,4096.0,OFF,2048.0,2048.0,0.9107286101067679,0.029660252665037,0.8227435646790485,0.9802867383512545,0.11219324245163477,0.0044653467033646975,0.10085794990379782,0.12758449973788383,0.1150521248967385,0.005561264523191884,0.10398475384492388,0.13446315677005163,0.5738604466742827,0.026822425681022048,0.49076789399370047,0.6514065385033126,0.06868356497256108,0.013199867777722155,0.04003968628721874,0.12048619571364895,0.24455432232372368,0.22086205221263733,0.04401590896375866,1.4027612777018135,26052.716516064254,2905.5348785942197,16692.644999999997,32426.825,9.05462391500971,1.7082007381858995,6.9589550495147705,17.948278188705444,498
large,16384,8,2048.0,2,1024.0,512.0,0.917120697167756,0.030120841459385782,0.8309368191721133,0.9860566448801743,0.1106327618490219,0.004582926407622657,0.10087441016707639,0.13323958000829636,0.11333576864759287,0.005296058830187686,0.1042683288019686,0.13704145962418215,0.5764013071895425,0.025957759030091038,0.46688453159041393,0.6468409586056645,0.05669037419782444,0.009781663123135416,0.03434947087511483,0.08913146743656596,0.08009130899301257,0.03886860308761459,0.03601993745978917,0.24756916990317723,25586.72102,3658.48994751889,4235.695,33585.09,8.777842540740966,1.6963069278869929,6.815229654312134,16.073302507400513,500
large,16384,8,2048.0,4,1024.0,256.0,0.9174278215223097,0.031486547533015774,0.7169728783902012,0.9833770778652668,0.1095247805688736,0.004477856813524889,0.10056588992940203,0.15080286197058132,0.1124745057873241,0.0048106248936809985,0.10456785863711014,0.1502809283230179,0.5725004374453193,0.028452458172458197,0.4768153980752406,0.6426071741032371,0.05067103671096388,0.007147001572957937,0.034254676126982235,0.07820139159669304,0.058938843221817264,0.016293180397691315,0.03384630843818206,0.15673233463980207,24000.16367,3786.7161529359837,4.51,31755.205,8.794840710639953,1.697052213774488,6.787819862365723,17.72377872467041,500
large,16384,8,2048.0,OFF,1024.0,1024.0,0.9136688087422532,0.02950658294629929,0.8207218960643619,0.9777125462056969,0.11194348677188501,0.0045557379893129465,0.10012448377660031,0.13058372478961267,0.11470547303464446,0.005612631347727458,0.10376739625809148,0.13967153126545068,0.5759934716033082,0.025428905549311192,0.48956294846705806,0.647205914329202,0.06201564924043667,0.009524803428244166,0.03556594276569013,0.1005155609970876,0.11671850576437075,0.07324076003734017,0.036581594378996475,0.5067273241943141,26336.320903614458,3189.834619257268,16529.504999999997,32747.05,8.888709373742222,1.6456404908751738,6.871551990509033,17.39199447631836,498
large,16384,16,1024.0,2,512.0,256.0,0.9169641294838146,0.02969518492284861,0.8193350831146107,0.9903762029746281,0.1099609849276986,0.004245656149819514,0.10097657752978853,0.12795120811112712,0.11290897629078847,0.0047247248013640416,0.1047230573104542,0.13497522839213713,0.573522309711286,0.027536548238880642,0.4658792650918635,0.6517935258092739,0.0504343375647985,0.007136443590492217,0.03304542984236861,0.07424717331363054,0.0560769670191663,0.011492957643831039,0.032358895704764794,0.12181677701777859,23861.71579,3724.1459876158156,25.685000000000002,32003.35,8.839267538070679,1.6802048809668058,6.774481534957886,17.445005178451538,500
large,16384,16,1024.0,OFF,512.0,512.0,0.9150733653568522,0.029254914672389516,0.8226579520697168,0.985838779956427,0.11125162912446362,0.004436376493666084,0.10185468804847987,0.12985192454881722,0.11394007849714434,0.005213296743850193,0.10519302132585519,0.1390130705925773,0.5773700466353431,0.025688297067681432,0.49651416122004355,0.6416122004357299,0.05435239746971216,0.00782085976334658,0.03045346105273877,0.08358240865795331,0.06437877092791675,0.018448324447462514,0.02972702747486031,0.18905210755126067,25503.946757028112,3430.6388408222338,13713.76,33184.405,8.743736561522427,1.5514951649733593,6.719343662261963,15.286062002182007,498
large,16384,32,512.0,OFF,256.0,256.0,0.9113783121799154,0.04079994534244603,0.279090113735783,0.9851268591426072,4429.223943800069,98938.87850137184,0.10237663654803071,2210127.2430648915,41485.26366265371,926708.0418124186,0.10564771531156275,20701089.689044304,0.5724388409364661,0.03338581821582531,0.09580052493438321,0.6544181977252843,516.8041788477609,11543.346117808484,0.0319988513843471,257858.87285533716,4662.009768134722,104140.09899149676,0.03158461497042685,2326313.6550658206,23774.453116232467,3464.7034875146464,4.14,31767.465,8.81048907880076,1.5986837037421144,6.792625427246094,15.29137134552002,499
